,Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss,Comsume_time
2123,4,44,6,154,0.45454545454545453,0.007233716547489166,124.43987560272217
2124,4,44,2,56,0.6964285714285714,0.014023102819919586,124.43987560272217
2125,4,44,1,43,0.9534883720930233,0.00470131728798151,124.43987560272217
2126,4,44,0,48,0.8958333333333334,0.007113268133252859,124.43987560272217
2127,4,44,3,74,0.8918918918918919,0.004823276773095131,124.43987560272217
2128,4,44,4,13,0.6923076923076923,0.08760292828083038,124.43987560272217
2129,4,44,5,10,1.0,0.01030268706381321,124.43987560272217
2130,4,45,6,80,0.4625,0.01679135486483574,124.43987560272217
2131,4,45,0,20,0.7,0.04846375808119774,124.43987560272217
2132,4,45,3,7,0.8571428571428571,0.10955260694026947,124.43987560272217
2133,4,45,7,21,1.0,0.003181090345606208,124.43987560272217
2134,4,45,1,40,0.925,0.005105010699480772,124.43987560272217
2135,4,45,8,10,0.9,0.014424844644963741,124.43987560272217
2136,4,45,2,11,0.7272727272727273,0.06154021993279457,124.43987560272217
2137,4,45,4,2,0.0,1.3227293491363525,124.43987560272217
2138,4,45,9,11,0.9090909090909091,0.014653166756033897,124.43987560272217
2139,4,46,7,223,0.905829596412556,0.001007113722153008,124.43987560272217
2140,4,46,1,72,0.9444444444444444,0.003510920563712716,124.43987560272217
2141,4,46,2,15,0.8,0.046985138207674026,124.43987560272217
2142,4,46,5,35,0.8571428571428571,0.006547992583364248,124.43987560272217
2143,4,46,6,6,0.5,0.1452099084854126,124.43987560272217
2144,4,46,0,57,0.8596491228070176,0.00887340772897005,124.43987560272217
2145,4,46,3,27,0.8148148148148148,0.018307490274310112,124.43987560272217
2146,4,46,4,7,0.8571428571428571,0.0849948599934578,124.43987560272217
2147,4,47,7,88,0.875,0.004653915762901306,124.43987560272217
2148,4,47,9,102,0.9313725490196079,0.0024303116369992495,124.43987560272217
2149,4,47,8,31,0.967741935483871,0.002204691292718053,124.43987560272217
2150,4,47,2,30,0.8666666666666667,0.01625441387295723,124.43987560272217
2151,4,47,4,16,0.8125,0.06637785583734512,124.43987560272217
2152,4,47,3,5,1.0,0.006226291414350271,124.43987560272217
2153,4,47,0,8,1.0,0.026154493913054466,124.43987560272217
2154,4,47,6,5,0.6,0.24231277406215668,124.43987560272217
2155,4,47,1,10,1.0,0.0020540934056043625,124.43987560272217
2156,4,47,5,6,1.0,0.017089448869228363,124.43987560272217
2157,4,48,9,78,0.9102564102564102,0.003792646573856473,124.43987560272217
2158,4,48,4,26,0.8076923076923077,0.025076497346162796,124.43987560272217
2159,4,48,0,81,0.7901234567901234,0.009068655781447887,124.43987560272217
2160,4,48,1,12,0.9166666666666666,0.01385463960468769,124.43987560272217
2161,4,48,3,32,0.90625,0.008521296083927155,124.43987560272217
2162,4,48,6,72,0.4444444444444444,0.015851978212594986,124.43987560272217
2163,4,48,2,26,0.7692307692307693,0.024843215942382812,124.43987560272217
2164,4,48,5,18,0.8888888888888888,0.015674447640776634,124.43987560272217
2165,4,48,8,20,0.9,0.043692056089639664,124.43987560272217
2166,4,49,9,123,0.8699186991869918,0.00290655717253685,124.43987560272217
2167,4,49,4,32,0.84375,0.019767820835113525,124.43987560272217
2168,4,49,7,25,0.96,0.0030702510848641396,124.43987560272217
2169,4,49,8,35,0.9428571428571428,0.00458676228299737,124.43987560272217
2170,4,49,6,28,0.5,0.05306132510304451,124.43987560272217
2171,4,49,5,22,0.9545454545454546,0.0075256237760186195,124.43987560272217
2172,4,49,2,10,0.9,0.04481378197669983,124.43987560272217
2173,4,49,1,20,1.0,3.3376581995980814e-05,124.43987560272217
